sql,estimate,actual,q-error
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<4 AND t.production_year<1961 AND mc.company_id>17484 AND mc.company_type_id=1;
",8773,42883,4.888065656
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year<1959;
",479152,2889401,6.030238839
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=2000 AND ci.person_id>1066564 AND ci.role_id=3;
",16005,12001,1.333638863
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>1961 AND mi_idx.info_type_id<101;
",315203,549622,1.743708023
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year=1994 AND mi.info_type_id>17;
",7881,22900,2.905722624
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=3587349;
",489,33,14.81818182
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year<2005 AND mi_idx.info_type_id<101;
",301012,175118,1.718909535
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2678609 AND ci.role_id=2 AND mk.keyword_id<1776;
",1157943,222131,5.212883389
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2043231 AND ci.role_id>1;
",13171558,7657830,1.720011805
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<11373;
",721301,2192596,3.03977951
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2869415 AND ci.role_id>9 AND mk.keyword_id<2980;
",781091,14887750,19.06019913
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=34013;
",249,39,6.384615385
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>26476;
",702084,712963,1.015495297
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND mc.company_id=3232 AND mc.company_type_id=1;
",11,12,1.090909091
"SELECT * FROM cast_info ci WHERE ci.person_id>1256579;
",23825210,23501220,1.013786093
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2012 AND mi_idx.info_type_id>100;
",22105,12691,1.741785517
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year=2009 AND mi_idx.info_type_id>99;
",162788,131642,1.236596223
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=1993;
",91512,96943,1.059347408
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=2007 AND mi.info_type_id=4;
",59772,52890,1.130119115
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<1990 AND ci.role_id<3;
",3281866,2310810,1.420223212
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id=2420177;
",267,42,6.357142857
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<2008 AND ci.role_id=1 AND mk.keyword_id<73;
",173988,81344,2.138916208
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<5374;
",2382052,2370751,1.004766844
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=7 AND mc.company_id>817 AND mc.company_type_id=1;
",583955,56946,10.25453939
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_type_id>1 AND ci.person_id<394300;
",2174746,3671545,1.688263825
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>51095;
",171850,741932,4.317323247
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>4 AND t.production_year>1966;
",2335909,662416,3.526347492
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year=1899 AND mk.keyword_id<398;
",6096,213,28.61971831
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year>2010 AND mi.info_type_id>3;
",24822627,39982151,1.610713926
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=2007 AND mk.keyword_id=3256;
",125,398,3.184
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year<1965 AND mc.company_id>1237;
",105702,4198516,39.72030804
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year=1974 AND ci.person_id<3019402 AND ci.role_id>1 AND mi.info_type_id>3;
",506061,744542,1.471249513
"SELECT * FROM movie_companies mc WHERE mc.company_id=32057 AND mc.company_type_id<2;
",50,2,25
"SELECT * FROM cast_info ci WHERE ci.person_id<1931896 AND ci.role_id>1;
",12522698,6646317,1.884155992
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>2 AND t.production_year<1965;
",2918710,843688,3.459466059
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year=1996 AND mc.company_id<11695 AND mc.company_type_id=2;
",17311,49402,2.853792386
"SELECT * FROM cast_info ci WHERE ci.person_id=90962 AND ci.role_id<10;
",425,2,212.5
"SELECT * FROM cast_info ci WHERE ci.person_id=892909 AND ci.role_id<3;
",269,1,269
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<39210;
",4078476,4072192,1.001543149
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id>1 AND t.production_year>2006;
",55760444,47016857,1.185967067
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year=1998 AND mk.keyword_id>16264;
",20622,20114,1.025256041
"SELECT * FROM movie_companies mc WHERE mc.company_id>4434 AND mc.company_type_id=2;
",835778,1042283,1.247081163
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND mk.keyword_id=527;
",151,59,2.559322034
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<511906 AND ci.role_id>10;
",39077,20754,1.882865954
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<1007;
",1025512,1029245,1.003640133
"SELECT * FROM movie_companies mc WHERE mc.company_id<69853;
",2028200,2016503,1.005800636
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=88122;
",249,8,31.125
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year=1962 AND ci.person_id<1154998 AND ci.role_id=10;
",3074,483,6.364389234
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2279717;
",22113737,22363041,1.011273716
"SELECT * FROM movie_companies mc WHERE mc.company_id<43106;
",1901004,1892838,1.004314157
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=14267;
",104,561,5.394230769
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>1144755 AND ci.role_id=3;
",16102309,28177721,1.74991804
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>1980 AND mk.keyword_id>13634;
",270872,6081642,22.45208807
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<492499 AND ci.role_id=2;
",1846484,7261,254.3016113
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id<145 AND mc.company_type_id<2;
",1907733,5995389,3.142677199
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id>87517 AND mk.keyword_id=9182;
",34,19,1.789473684
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2626616 AND ci.role_id<10;
",21960592,24382536,1.110285916
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND mc.company_id<11379;
",3083096,33128308,10.74514319
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<1987 AND mk.keyword_id=2651;
",37,2,18.5
"SELECT * FROM cast_info ci WHERE ci.person_id<814499 AND ci.role_id>1;
",5346615,2314071,2.310480102
"SELECT * FROM cast_info ci WHERE ci.person_id>1259307 AND ci.role_id>1;
",15588823,20032173,1.285034348
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<2010 AND mc.company_id>33938 AND ci.person_id<1550792;
",3547527,6694220,1.887010303
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>10116;
",1550820,1556102,1.00340594
"SELECT * FROM cast_info ci WHERE ci.person_id<1123232;
",11125472,11429999,1.027372052
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2002 AND mk.keyword_id>870;
",51869,12698,4.084816507
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>512 AND mc.company_type_id>1;
",1067858,1194165,1.118280708
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year>1970;
",69388145,314536973,4.533007375
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<2697;
",10106308,81818979,8.095832722
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=625934 AND ci.role_id<2;
",169,922,5.455621302
"SELECT * FROM movie_companies mc WHERE mc.company_id>112526;
",201077,203113,1.010125474
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=1 AND mk.keyword_id<1002;
",271819,624234,2.296506131
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3322691 AND ci.role_id=4;
",2438188,2728943,1.119250443
"SELECT * FROM cast_info ci WHERE ci.person_id<770925 AND ci.role_id<10;
",6794857,7567967,1.113778701
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=6123;
",249,149,1.67114094
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mi.info_type_id>16 AND mk.keyword_id<11728;
",1083418,56848525,52.47146069
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<2566764 AND ci.role_id=1 AND mk.keyword_id<2849;
",5899382,29586445,5.015177013
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year<2009 AND ci.person_id>1835252 AND ci.role_id<10 AND mi_idx.info_type_id=99;
",1472486,1879167,1.276186667
"SELECT * FROM cast_info ci WHERE ci.person_id>3150139;
",5296646,5157644,1.026950677
"SELECT * FROM cast_info ci WHERE ci.person_id=1128359;
",489,33,14.81818182
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>2289369 AND ci.role_id>1;
",54239357,177494679,3.272433318
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=18692;
",249,355,1.425702811
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=1993 AND mi.info_type_id>16;
",11611,86532,7.452588063
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>2231;
",2997171,2990610,1.002193867
"SELECT * FROM movie_companies mc WHERE mc.company_id=14805;
",104,77,1.350649351
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2008 AND mi.info_type_id>16;
",1036454,10169372,9.811696419
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year>2005 AND mc.company_type_id<2 AND mi.info_type_id<7;
",1195249,2848793,2.383430566
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND ci.person_id<1139092;
",6826767,6639277,1.028239521
"SELECT * FROM movie_companies mc WHERE mc.company_id<19691 AND mc.company_type_id=2;
",865436,544532,1.589320738
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id>1 AND t.production_year=1996;
",151519,120023,1.26241637
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2011 AND mi.info_type_id>18;
",52310,1346178,25.73462053
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year>1998;
",2740592,18332497,6.689247068
"SELECT * FROM movie_companies mc WHERE mc.company_id=14074;
",104,156,1.5
"SELECT * FROM cast_info ci WHERE ci.person_id<969025 AND ci.role_id>3;
",3268743,1997146,1.636707081
"SELECT * FROM cast_info ci WHERE ci.person_id<57549 AND ci.role_id=1;
",172909,387979,2.243833462
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mi.info_type_id<2 AND mk.keyword_id<96739;
",1445262,4479478,3.099422804
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<2006 AND ci.role_id=6 AND mk.keyword_id=13940;
",43,45,1.046511628
"SELECT * FROM movie_companies mc WHERE mc.company_id>27699 AND mc.company_type_id=2;
",420861,744010,1.767828333
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=8629;
",249,42,5.928571429
"SELECT * FROM movie_companies mc WHERE mc.company_id>99727;
",253830,258248,1.01740535
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=71485;
",249,210,1.185714286
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=2 AND mi.info_type_id>6;
",320904,393813,1.227198788
"SELECT * FROM cast_info ci WHERE ci.person_id>1881200;
",17569764,17363671,1.011869207
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id=100 AND mk.keyword_id<117;
",22610,85618,3.786731535
"SELECT * FROM cast_info ci WHERE ci.person_id>791670;
",28244804,28150437,1.003352239
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<31065;
",3939038,3932302,1.001712992
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>6854;
",1919695,1935005,1.007975225
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id<7 AND t.production_year>1959;
",12518381,12761011,1.019381899
"SELECT * FROM cast_info ci WHERE ci.person_id>1747522 AND ci.role_id<4;
",12360196,10031889,1.232090586
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<4 AND mi.info_type_id<4;
",1274072,2697169,2.116967487
"SELECT * FROM cast_info ci WHERE ci.person_id<1341245 AND ci.role_id<3;
",7329353,9847312,1.343544512
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<4 AND t.production_year=2005;
",59984,106824,1.7808749
"SELECT * FROM cast_info ci WHERE ci.person_id<286848;
",2917379,2945450,1.009621993
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND ci.person_id>1366207;
",9222781,35390077,3.837245729
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>1 AND mc.company_id>68 AND mc.company_type_id=1 AND ci.person_id<1673909;
",5665587,5291581,1.070679443
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2004 AND mi.info_type_id>98;
",10536,74146,7.037395596
"SELECT * FROM cast_info ci WHERE ci.person_id>1326433;
",23053567,22791697,1.01148971
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND t.production_year<1994 AND mc.company_type_id<2;
",155408,459573,2.957202975
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2011 AND mc.company_id=846 AND mc.company_type_id<2;
",3458,5674,1.640832851
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND mi.info_type_id=108;
",277918,2088756,7.515727661
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id<100 AND mk.keyword_id<56903;
",766724,3246200,4.233857294
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year<2010 AND mi.info_type_id>6 AND mk.keyword_id=20330;
",670,12632,18.85373134
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<1822571 AND ci.role_id>10;
",135665,72446,1.87263617
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year>1913 AND ci.person_id<364441 AND mk.keyword_id<2276;
",2209328,7813854,3.536755973
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year=2010 AND mc.company_id=76905 AND mi.info_type_id<4;
",9,14,1.555555556
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=1 AND t.production_year=2012 AND mc.company_type_id>1;
",23801,27192,1.142473005
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2011 AND mi.info_type_id=8 AND mi_idx.info_type_id<100;
",15172,17561,1.157461113
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2007 AND mk.keyword_id<38085;
",682553,1543595,2.261502037
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year=1958 AND ci.role_id=1;
",89438,278473,3.113587066
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1914 AND mi_idx.info_type_id=99;
",446455,1345620,3.014010371
